CountDEF,FECHA_DEF
1,2020-01-24
4,2020-02-07
3,2020-02-24
7,2020-03-03
7,2020-03-13
13,2020-03-17
29,2020-03-18
10,2020-03-20
20,2020-03-22
10,2020-03-23
26,2020-03-24
20,2020-03-25
80,2020-03-26
85,2020-03-27
150,2020-03-28
90,2020-03-29
132,2020-03-30
243,2020-03-31
211,2020-04-01
269,2020-04-02
334,2020-04-03
370,2020-04-04
322,2020-04-05
558,2020-04-06
594,2020-04-07
495,2020-04-08
590,2020-04-09
747,2020-04-10
775,2020-04-11
811,2020-04-12
950,2020-04-13
1064,2020-04-14
1091,2020-04-15
1001,2020-04-16
1317,2020-04-17
1301,2020-04-18
1689,2020-04-19
1965,2020-04-20
1996,2020-04-21
1992,2020-04-22
2118,2020-04-23
2462,2020-04-24
2682,2020-04-25
2895,2020-04-26
2612,2020-04-27
2893,2020-04-28
3572,2020-04-29
3263,2020-04-30
3796,2020-05-01
3312,2020-05-02
3345,2020-05-03
4174,2020-05-04
4062,2020-05-05
3785,2020-05-06
3701,2020-05-07
4046,2020-05-08
3871,2020-05-09
4116,2020-05-10
4241,2020-05-11
4500,2020-05-12
4592,2020-05-13
5098,2020-05-14
5182,2020-05-15
4933,2020-05-16
5509,2020-05-17
5525,2020-05-18
5484,2020-05-19
5376,2020-05-20
5402,2020-05-21
5246,2020-05-22
5112,2020-05-23
5700,2020-05-24
5928,2020-05-25
5832,2020-05-26
5628,2020-05-27
5893,2020-05-28
5432,2020-05-29
5783,2020-05-30
6036,2020-05-31
6584,2020-06-01
6157,2020-06-02
6475,2020-06-03
6287,2020-06-04
5786,2020-06-05
6386,2020-06-06
6666,2020-06-07
7168,2020-06-08
6671,2020-06-09
6851,2020-06-10
6470,2020-06-11
7050,2020-06-12
6680,2020-06-13
6931,2020-06-14
6916,2020-06-15
7544,2020-06-16
7349,2020-06-17
6582,2020-06-18
6347,2020-06-19
5890,2020-06-20
6707,2020-06-21
6529,2020-06-22
6279,2020-06-23
6277,2020-06-24
6093,2020-06-25
6599,2020-06-26
6806,2020-06-27
6719,2020-06-28
7336,2020-06-29
7004,2020-06-30
6741,2020-07-01
6808,2020-07-02
6821,2020-07-03
7182,2020-07-04
7361,2020-07-05
8064,2020-07-06
8022,2020-07-07
7219,2020-07-08
7464,2020-07-09
7121,2020-07-10
7249,2020-07-11
7381,2020-07-12
8104,2020-07-13
7827,2020-07-14
7853,2020-07-15
7970,2020-07-16
7480,2020-07-17
7297,2020-07-18
7869,2020-07-19
7849,2020-07-20
8186,2020-07-21
7258,2020-07-22
7685,2020-07-23
7164,2020-07-24
7615,2020-07-25
7724,2020-07-26
7843,2020-07-27
7598,2020-07-28
6695,2020-07-29
7372,2020-07-30
6638,2020-07-31
7190,2020-08-01
6764,2020-08-02
7398,2020-08-03
7615,2020-08-04
7027,2020-08-05
6800,2020-08-06
6317,2020-08-07
6688,2020-08-08
6397,2020-08-09
6638,2020-08-10
6779,2020-08-11
6024,2020-08-12
6010,2020-08-13
5666,2020-08-14
5698,2020-08-15
5645,2020-08-16
6132,2020-08-17
5503,2020-08-18
5769,2020-08-19
5467,2020-08-20
5449,2020-08-21
5551,2020-08-22
5122,2020-08-23
5280,2020-08-24
5370,2020-08-25
5118,2020-08-26
4835,2020-08-27
5201,2020-08-28
5020,2020-08-29
5166,2020-08-30
5367,2020-08-31
4931,2020-09-01
4813,2020-09-02
4807,2020-09-03
4661,2020-09-04
4476,2020-09-05
4508,2020-09-06
4782,2020-09-07
4217,2020-09-08
4683,2020-09-09
4247,2020-09-10
4284,2020-09-11
4556,2020-09-12
3897,2020-09-13
4426,2020-09-14
4319,2020-09-15
4095,2020-09-16
3905,2020-09-17
3588,2020-09-18
3916,2020-09-19
4139,2020-09-20
4003,2020-09-21
4172,2020-09-22
3887,2020-09-23
3989,2020-09-24
3584,2020-09-25
3767,2020-09-26
3554,2020-09-27
3637,2020-09-28
3627,2020-09-29
3453,2020-09-30
3557,2020-10-01
3542,2020-10-02
3572,2020-10-03
3396,2020-10-04
3639,2020-10-05
3527,2020-10-06
3415,2020-10-07
3438,2020-10-08
3158,2020-10-09
3729,2020-10-10
3542,2020-10-11
4099,2020-10-12
3742,2020-10-13
3614,2020-10-14
3814,2020-10-15
3597,2020-10-16
3842,2020-10-17
3915,2020-10-18
4619,2020-10-19
4189,2020-10-20
4618,2020-10-21
4485,2020-10-22
4404,2020-10-23
4289,2020-10-24
4759,2020-10-25
4821,2020-10-26
4504,2020-10-27
4654,2020-10-28
4723,2020-10-29
4548,2020-10-30
4340,2020-10-31
4433,2020-11-01
4954,2020-11-02
4764,2020-11-03
4763,2020-11-04
5014,2020-11-05
5298,2020-11-06
4563,2020-11-07
4747,2020-11-08
4968,2020-11-09
4656,2020-11-10
4955,2020-11-11
5211,2020-11-12
4891,2020-11-13
4754,2020-11-14
4853,2020-11-15
4930,2020-11-16
5300,2020-11-17
5069,2020-11-18
4712,2020-11-19
5450,2020-11-20
5359,2020-11-21
5989,2020-11-22
5399,2020-11-23
5452,2020-11-24
5302,2020-11-25
5565,2020-11-26
5992,2020-11-27
5439,2020-11-28
5560,2020-11-29
6170,2020-11-30
6404,2020-12-01
5919,2020-12-02
5772,2020-12-03
5688,2020-12-04
6237,2020-12-05
6184,2020-12-06
6517,2020-12-07
6084,2020-12-08
6627,2020-12-09
6432,2020-12-10
6742,2020-12-11
6952,2020-12-12
6870,2020-12-13
7120,2020-12-14
7244,2020-12-15
7096,2020-12-16
7141,2020-12-17
7324,2020-12-18
7677,2020-12-19
7450,2020-12-20
8511,2020-12-21
7741,2020-12-22
7901,2020-12-23
8042,2020-12-24
7977,2020-12-25
8394,2020-12-26
8719,2020-12-27
9154,2020-12-28
9217,2020-12-29
8939,2020-12-30
8399,2020-12-31
793,2021-01-01
1727,2021-01-02
2780,2021-01-03
3695,2021-01-04
4438,2021-01-05
5898,2021-01-06
5852,2021-01-07
7208,2021-01-08
7668,2021-01-09
8206,2021-01-10
9043,2021-01-11
9125,2021-01-12
9592,2021-01-13
10087,2021-01-14
10547,2021-01-15
10653,2021-01-16
11942,2021-01-17
12133,2021-01-18
12372,2021-01-19
12875,2021-01-20
12297,2021-01-21
12191,2021-01-22
11934,2021-01-23
12636,2021-01-24
12803,2021-01-25
12557,2021-01-26
11575,2021-01-27
10877,2021-01-28
10733,2021-01-29
10597,2021-01-30
9926,2021-01-31
10493,2021-02-01
10238,2021-02-02
9373,2021-02-03
8944,2021-02-04
8565,2021-02-05
8587,2021-02-06
7863,2021-02-07
8861,2021-02-08
7983,2021-02-09
7294,2021-02-10
7525,2021-02-11
6998,2021-02-12
6263,2021-02-13
6408,2021-02-14
6675,2021-02-15
6320,2021-02-16
6138,2021-02-17
5649,2021-02-18
5822,2021-02-19
5025,2021-02-20
5881,2021-02-21
5981,2021-02-22
4902,2021-02-23
4933,2021-02-24
4705,2021-02-25
4476,2021-02-26
4555,2021-02-27
4465,2021-02-28
4375,2021-03-01
4118,2021-03-02
3795,2021-03-03
3786,2021-03-04
3894,2021-03-05
3561,2021-03-06
3605,2021-03-07
3932,2021-03-08
3409,2021-03-09
3830,2021-03-10
3575,2021-03-11
3079,2021-03-12
3179,2021-03-13
3466,2021-03-14
2982,2021-03-15
2951,2021-03-16
3026,2021-03-17
2752,2021-03-18
2792,2021-03-19
2578,2021-03-20
2788,2021-03-21
2648,2021-03-22
2938,2021-03-23
2487,2021-03-24
2197,2021-03-25
2093,2021-03-26
2309,2021-03-27
2565,2021-03-28
2454,2021-03-29
2296,2021-03-30
2076,2021-03-31
1908,2021-04-01
1944,2021-04-02
1986,2021-04-03
1745,2021-04-04
2053,2021-04-05
1816,2021-04-06
2032,2021-04-07
1905,2021-04-08
1824,2021-04-09
1747,2021-04-10
1703,2021-04-11
1688,2021-04-12
1950,2021-04-13
1710,2021-04-14
1782,2021-04-15
1643,2021-04-16
1662,2021-04-17
1378,2021-04-18
1534,2021-04-19
1571,2021-04-20
1480,2021-04-21
1272,2021-04-22
1322,2021-04-23
1372,2021-04-24
1303,2021-04-25
1374,2021-04-26
1259,2021-04-27
1260,2021-04-28
1267,2021-04-29
908,2021-04-30
982,2021-05-01
1052,2021-05-02
961,2021-05-03
853,2021-05-04
975,2021-05-05
856,2021-05-06
754,2021-05-07
710,2021-05-08
838,2021-05-09
924,2021-05-10
698,2021-05-11
748,2021-05-12
582,2021-05-13
714,2021-05-14
572,2021-05-15
655,2021-05-16
690,2021-05-17
709,2021-05-18
660,2021-05-19
558,2021-05-20
560,2021-05-21
471,2021-05-22
679,2021-05-23
610,2021-05-24
617,2021-05-25
524,2021-05-26
560,2021-05-27
546,2021-05-28
481,2021-05-29
508,2021-05-30
549,2021-05-31
448,2021-06-01
421,2021-06-02
314,2021-06-03
436,2021-06-04
474,2021-06-05
404,2021-06-06
487,2021-06-07
477,2021-06-08
438,2021-06-09
397,2021-06-10
525,2021-06-11
342,2021-06-12
398,2021-06-13
451,2021-06-14
457,2021-06-15
444,2021-06-16
462,2021-06-17
448,2021-06-18
406,2021-06-19
545,2021-06-20
509,2021-06-21
480,2021-06-22
470,2021-06-23
460,2021-06-24
517,2021-06-25
505,2021-06-26
542,2021-06-27
577,2021-06-28
553,2021-06-29
515,2021-06-30
536,2021-07-01
508,2021-07-02
451,2021-07-03
589,2021-07-04
540,2021-07-05
659,2021-07-06
618,2021-07-07
551,2021-07-08
534,2021-07-09
568,2021-07-10
658,2021-07-11
816,2021-07-12
681,2021-07-13
810,2021-07-14
818,2021-07-15
848,2021-07-16
895,2021-07-17
931,2021-07-18
1064,2021-07-19
1164,2021-07-20
1228,2021-07-21
1092,2021-07-22
1316,2021-07-23
1220,2021-07-24
1416,2021-07-25
1549,2021-07-26
1532,2021-07-27
1611,2021-07-28
1565,2021-07-29
1594,2021-07-30
1516,2021-07-31
1514,2021-08-01
1710,2021-08-02
1544,2021-08-03
1591,2021-08-04
1666,2021-08-05
1698,2021-08-06
1692,2021-08-07
1653,2021-08-08
1908,2021-08-09
1931,2021-08-10
1851,2021-08-11
1862,2021-08-12
1869,2021-08-13
1981,2021-08-14
1964,2021-08-15
2103,2021-08-16
1968,2021-08-17
2257,2021-08-18
1917,2021-08-19
1963,2021-08-20
2124,2021-08-21
1847,2021-08-22
2192,2021-08-23
2021,2021-08-24
1865,2021-08-25
1974,2021-08-26
1785,2021-08-27
1773,2021-08-28
1800,2021-08-29
1730,2021-08-30
1480,2021-08-31
1212,2021-09-01
1186,2021-09-02
1198,2021-09-03
1122,2021-09-04
1160,2021-09-05
1146,2021-09-06
1140,2021-09-07
1034,2021-09-08
1078,2021-09-09
1030,2021-09-10
940,2021-09-11
990,2021-09-12
992,2021-09-13
934,2021-09-14
880,2021-09-15
848,2021-09-16
898,2021-09-17
806,2021-09-18
764,2021-09-19
870,2021-09-20
804,2021-09-21
718,2021-09-22
666,2021-09-23
632,2021-09-24
568,2021-09-25
608,2021-09-26
546,2021-09-27
532,2021-09-28
404,2021-09-29
148,2021-09-30
2,2021-10-01
