Entity,Code,Day,Unvaccinated,"Fully vaccinated, no booster",Fully vaccinated + booster
00-09,,2021-01-30,0,,
00-09,,2021-02-06,0,,
00-09,,2021-02-13,0,,
00-09,,2021-02-20,0,,
00-09,,2021-02-27,0,,
00-09,,2021-03-06,0,,
00-09,,2021-03-13,0,,
00-09,,2021-03-20,0,,
00-09,,2021-03-27,0,,
00-09,,2021-04-03,0,,
00-09,,2021-04-10,0,,
00-09,,2021-04-17,0,,
00-09,,2021-04-24,0,,
00-09,,2021-05-01,0,,
00-09,,2021-05-08,0,,
00-09,,2021-05-15,0,,
00-09,,2021-05-22,0,,
00-09,,2021-05-29,0,,
00-09,,2021-06-05,0,,
00-09,,2021-06-12,0,,
00-09,,2021-06-19,0,,
00-09,,2021-06-26,0,,
00-09,,2021-07-03,0,,
00-09,,2021-07-10,0,,
00-09,,2021-07-17,0,0,
00-09,,2021-07-24,0,0,
00-09,,2021-07-31,0,0,
00-09,,2021-08-07,0,0,
00-09,,2021-08-14,0,0,
00-09,,2021-08-21,0,0,
00-09,,2021-08-28,0,0,
00-09,,2021-09-04,0,0,
00-09,,2021-09-11,0,0,
00-09,,2021-09-18,0,0,
00-09,,2021-09-25,0,0,
00-09,,2021-10-02,0,0,
00-09,,2021-10-09,0,0,
00-09,,2021-10-16,0,0,
00-09,,2021-10-23,0,0,
00-09,,2021-10-30,0,0,
00-09,,2021-11-06,0,0,
00-09,,2021-11-13,0,0,
00-09,,2021-11-20,0,0,
00-09,,2021-11-27,0,0,
00-09,,2021-12-04,0,,
00-09,,2021-12-11,0,,
00-09,,2021-12-18,0,,0
00-09,,2021-12-25,0,,0
00-09,,2022-01-01,0,,0
00-09,,2022-01-08,0,0,0
00-09,,2022-01-15,0,0,0
00-09,,2022-01-22,0,0,0
10-19,,2021-01-30,0,,
10-19,,2021-02-06,0,0,
10-19,,2021-02-13,0,0,
10-19,,2021-02-20,0,0,
10-19,,2021-02-27,0,0,
10-19,,2021-03-06,0,0,
10-19,,2021-03-13,0,0,
10-19,,2021-03-20,0,0,
10-19,,2021-03-27,0,0,
10-19,,2021-04-03,0,0,
10-19,,2021-04-10,0,0,
10-19,,2021-04-17,0,0,
10-19,,2021-04-24,0,0,
10-19,,2021-05-01,0,0,
10-19,,2021-05-08,0,0,
10-19,,2021-05-15,0,0,
10-19,,2021-05-22,0,0,
10-19,,2021-05-29,0,0,
10-19,,2021-06-05,0,0,
10-19,,2021-06-12,0,0,
10-19,,2021-06-19,0,0,
10-19,,2021-06-26,0,0,
10-19,,2021-07-03,0,0,
10-19,,2021-07-10,0,0,
10-19,,2021-07-17,0,0,
10-19,,2021-07-24,0,0,
10-19,,2021-07-31,0,0,
10-19,,2021-08-07,0,0,
10-19,,2021-08-14,0,0,
10-19,,2021-08-21,0,0,
10-19,,2021-08-28,0,0,
10-19,,2021-09-04,0,0,
10-19,,2021-09-11,0,0,
10-19,,2021-09-18,0,0,
10-19,,2021-09-25,0,0,
10-19,,2021-10-02,0,0,
10-19,,2021-10-09,0,0,
10-19,,2021-10-16,0,0,
10-19,,2021-10-23,0,0,
10-19,,2021-10-30,0,0,
10-19,,2021-11-06,0,0,
10-19,,2021-11-13,0,0,
10-19,,2021-11-20,0,0,
10-19,,2021-11-27,0,0,0
10-19,,2021-12-04,0,0,0
10-19,,2021-12-11,0,0,0
10-19,,2021-12-18,0,0,0
10-19,,2021-12-25,0,0,0
10-19,,2022-01-01,0,0,0
10-19,,2022-01-08,0,0,0
10-19,,2022-01-15,0,0,0
10-19,,2022-01-22,0,0,0
20-29,,2021-01-30,0,0,
20-29,,2021-02-06,0,0,
20-29,,2021-02-13,0,0,
20-29,,2021-02-20,0,0,
20-29,,2021-02-27,0,0,
20-29,,2021-03-06,0,0,
20-29,,2021-03-13,0,0,
20-29,,2021-03-20,0,0,
20-29,,2021-03-27,0,0,
20-29,,2021-04-03,0,0,
20-29,,2021-04-10,0,0,
20-29,,2021-04-17,0,0,
20-29,,2021-04-24,0,0,
20-29,,2021-05-01,0,0,
20-29,,2021-05-08,0,0,
20-29,,2021-05-15,0,0,
20-29,,2021-05-22,0,0,
20-29,,2021-05-29,0,0,
20-29,,2021-06-05,0,0,
20-29,,2021-06-12,0,0,
20-29,,2021-06-19,0,0,
20-29,,2021-06-26,0,0,
20-29,,2021-07-03,0,0,
20-29,,2021-07-10,0,0,
20-29,,2021-07-17,0,0,
20-29,,2021-07-24,0,0,
20-29,,2021-07-31,0,0,
20-29,,2021-08-07,0,0,
20-29,,2021-08-14,0,0,
20-29,,2021-08-21,0,0,
20-29,,2021-08-28,0,0,
20-29,,2021-09-04,0,0,
20-29,,2021-09-11,0,0,
20-29,,2021-09-18,0,0,
20-29,,2021-09-25,0,0.1798357380368771,
20-29,,2021-10-02,0,0,
20-29,,2021-10-09,0,0,
20-29,,2021-10-16,0,0,
20-29,,2021-10-23,0,0,
20-29,,2021-10-30,0,0,
20-29,,2021-11-06,0,0,
20-29,,2021-11-13,0,0,0
20-29,,2021-11-20,0,0,0
20-29,,2021-11-27,0,0,0
20-29,,2021-12-04,0,0,0
20-29,,2021-12-11,0,0,0
20-29,,2021-12-18,0,0,0
20-29,,2021-12-25,0,0,0
20-29,,2022-01-01,0,0,0
20-29,,2022-01-08,0,0,0
20-29,,2022-01-15,0,0,0
20-29,,2022-01-22,0,0,0
30-39,,2021-01-30,0,0,
30-39,,2021-02-06,0,0,
30-39,,2021-02-13,0,0,
30-39,,2021-02-20,0,0,
30-39,,2021-02-27,0,0,
30-39,,2021-03-06,0,0,
30-39,,2021-03-13,0,0,
30-39,,2021-03-20,0,0,
30-39,,2021-03-27,0,0,
30-39,,2021-04-03,0,0,
30-39,,2021-04-10,0,0,
30-39,,2021-04-17,0,0,
30-39,,2021-04-24,0,0,
30-39,,2021-05-01,0,0,
30-39,,2021-05-08,0,0,
30-39,,2021-05-15,0,0,
30-39,,2021-05-22,0,0,
30-39,,2021-05-29,0.1021652911812964,0,
30-39,,2021-06-05,0,0,
30-39,,2021-06-12,0,0,
30-39,,2021-06-19,0,0,
30-39,,2021-06-26,0,0,
30-39,,2021-07-03,0,0,
30-39,,2021-07-10,0,0,
30-39,,2021-07-17,0,0,
30-39,,2021-07-24,0.16518468473676995,0,
30-39,,2021-07-31,0,0,
30-39,,2021-08-07,0,0,
30-39,,2021-08-14,0,0,
30-39,,2021-08-21,0.18013019810719189,0,
30-39,,2021-08-28,0,0,
30-39,,2021-09-04,0.19380783952710887,0,
30-39,,2021-09-11,0,0,
30-39,,2021-09-18,0.2186805689193681,0,
30-39,,2021-09-25,0,0,
30-39,,2021-10-02,0.23882992443421192,0,
30-39,,2021-10-09,0,0,
30-39,,2021-10-16,0,0,
30-39,,2021-10-23,0,0,
30-39,,2021-10-30,0,0,
30-39,,2021-11-06,0,0,
30-39,,2021-11-13,0,0,0
30-39,,2021-11-20,0,0,0
30-39,,2021-11-27,0,0,0
30-39,,2021-12-04,0.28259763748375066,0,0
30-39,,2021-12-11,0,0,0
30-39,,2021-12-18,0.5870043115466683,0,0
30-39,,2021-12-25,0,0,0
30-39,,2022-01-01,0,0,0
30-39,,2022-01-08,0.3023861289434931,0,0
30-39,,2022-01-15,0,0,0
30-39,,2022-01-22,0.3072536440282182,0,0
40-49,,2021-01-30,0.08406441351621266,0,
40-49,,2021-02-06,0,0,
40-49,,2021-02-13,0.0846382434517507,0,
40-49,,2021-02-20,0.08491335865449688,0,
40-49,,2021-02-27,0,0,
40-49,,2021-03-06,0,0,
40-49,,2021-03-13,0,0,
40-49,,2021-03-20,0,0,
40-49,,2021-03-27,0,0,
40-49,,2021-04-03,0,0,
40-49,,2021-04-10,0,0,
40-49,,2021-04-17,0,0,
40-49,,2021-04-24,0.09048422633724376,0,
40-49,,2021-05-01,0.1864374232110863,0,
40-49,,2021-05-08,0,0,
40-49,,2021-05-15,0,0,
40-49,,2021-05-22,0,0,
40-49,,2021-05-29,0,0,
40-49,,2021-06-05,0,0,
40-49,,2021-06-12,0,0,
40-49,,2021-06-19,0,0,
40-49,,2021-06-26,0.18577036182493373,0,
40-49,,2021-07-03,0,0,
40-49,,2021-07-10,0.19918731575173293,0,
40-49,,2021-07-17,0,0,
40-49,,2021-07-24,0,0,
40-49,,2021-07-31,0,0,
40-49,,2021-08-07,0,0,
40-49,,2021-08-14,0,0,
40-49,,2021-08-21,0,0,
40-49,,2021-08-28,0.2388053998677018,0,
40-49,,2021-09-04,0.4986287708800798,0,
40-49,,2021-09-11,0.26393441757592073,0,
40-49,,2021-09-18,0.28133193792692124,0,
40-49,,2021-09-25,0,0,
40-49,,2021-10-02,0,0,
40-49,,2021-10-09,0,0,
40-49,,2021-10-16,0,0,
40-49,,2021-10-23,0,0,
40-49,,2021-10-30,0.33054900884879695,0,
40-49,,2021-11-06,0,0,0
40-49,,2021-11-13,0,0,0
40-49,,2021-11-20,0.6898407157787267,0,0
40-49,,2021-11-27,0,0,0
40-49,,2021-12-04,0.3535605313307665,0,0
40-49,,2021-12-11,1.4361213235294117,0,0
40-49,,2021-12-18,0.3642867811255733,0,0
40-49,,2021-12-25,0.7348456456721266,0.1359833773919476,0.55938110075013
40-49,,2022-01-01,0,0,0
40-49,,2022-01-08,0,0,0
40-49,,2022-01-15,0.3747971410474081,0,0
40-49,,2022-01-22,0,0,0
50-59,,2021-01-30,0.07820613886907667,0,
50-59,,2021-02-06,0.0785754583699364,0,
50-59,,2021-02-13,0.0790755123697824,0,
50-59,,2021-02-20,0,0,
50-59,,2021-02-27,0,0,
50-59,,2021-03-06,0.16060541818438787,0,
50-59,,2021-03-13,0.24276597845209175,0,
50-59,,2021-03-20,0.16306550096575542,0,
50-59,,2021-03-27,0.16480532782663798,0,
50-59,,2021-04-03,0.3329241141097401,0,
50-59,,2021-04-10,0.1680371496530453,0,
50-59,,2021-04-17,0.08570757603547607,0,
50-59,,2021-04-24,0,0,
50-59,,2021-05-01,0.47688263727543595,0,
50-59,,2021-05-08,0,0,
50-59,,2021-05-15,0.4753286600603905,0,
50-59,,2021-05-22,0.2698279711769761,0,
50-59,,2021-05-29,0,0.3990040858018386,
50-59,,2021-06-05,0.3200353319006418,0,
50-59,,2021-06-12,0.17662508323457046,0,
50-59,,2021-06-19,0,0,
50-59,,2021-06-26,0,0.16061909022134918,
50-59,,2021-07-03,0,0,
50-59,,2021-07-10,0,0,
50-59,,2021-07-17,0,0,
50-59,,2021-07-24,0.2343544939817766,0,
50-59,,2021-07-31,0.24031529366528886,0,
50-59,,2021-08-07,0.24513829476899393,0,
50-59,,2021-08-14,0.2509416585737982,0,
50-59,,2021-08-21,0.257824323662343,0,
50-59,,2021-08-28,1.0689585137200825,0,
50-59,,2021-09-04,0.5561611532557674,0,
50-59,,2021-09-11,1.4658157117854516,0.11075215108365442,
50-59,,2021-09-18,0.6221072015129647,0,
50-59,,2021-09-25,1.6276624488507077,0.10758298682646326,
50-59,,2021-10-02,1.3424575699504298,0,
50-59,,2021-10-09,0.3434750053238626,0,
50-59,,2021-10-16,0.35126666760337777,0,
50-59,,2021-10-23,0,0,
50-59,,2021-10-30,0,0,0
50-59,,2021-11-06,0.36582332196842215,0,0
50-59,,2021-11-13,0.3720764096114778,0,0
50-59,,2021-11-20,0,0,0
50-59,,2021-11-27,1.1409533806448668,0.1991704550546972,0
50-59,,2021-12-04,0,0,1.7568517217146873
50-59,,2021-12-11,0.781039485451187,0.33682395222489064,0
50-59,,2021-12-18,1.5845349389954049,0.1272000844608561,0.4053539145027524
50-59,,2021-12-25,0.7987603239771874,0.14116597448283846,0
50-59,,2022-01-01,2.0075564424493795,0,0
50-59,,2022-01-08,0.808610080133259,0.17844938194056564,0
50-59,,2022-01-15,1.2197501951600311,0,0
50-59,,2022-01-22,1.2249847897721937,0.23025611387546369,0
60-69,,2021-01-30,0,0,
60-69,,2021-02-06,0.8538506529822869,0,
60-69,,2021-02-13,0.7536606373815676,0,
60-69,,2021-02-20,0.4342110547963496,0,
60-69,,2021-02-27,0.10925391593348184,0,
60-69,,2021-03-06,0.6619535573384171,0,
60-69,,2021-03-13,0.670924802748108,0,
60-69,,2021-03-20,0.45452634377872747,0,
60-69,,2021-03-27,0.46628687600615965,0,
60-69,,2021-04-03,0.8405954778364993,0,
60-69,,2021-04-10,0.6275683233633645,0,
60-69,,2021-04-17,0.5508435480383773,0,
60-69,,2021-04-24,1.255819940536926,0,
60-69,,2021-05-01,0.5449937779877013,0,
60-69,,2021-05-08,1.2714234857346285,0.5715755479980567,
60-69,,2021-05-15,0.9665547879499614,0,
60-69,,2021-05-22,0.27235043875655685,0,
60-69,,2021-05-29,0.5889784463337564,0,
60-69,,2021-06-05,1.2672504467057826,0,
60-69,,2021-06-12,0.34334763948497854,0.1822097671723595,
60-69,,2021-06-19,1.4749371308047994,0,
60-69,,2021-06-26,0.39185260072571104,0,
60-69,,2021-07-03,0,0,
60-69,,2021-07-10,0,0,
60-69,,2021-07-17,0,0,
60-69,,2021-07-24,0.8871225293637557,0,
60-69,,2021-07-31,0.4556472925437877,0,
60-69,,2021-08-07,0.4650362495756544,0,
60-69,,2021-08-14,0,0,
60-69,,2021-08-21,0,0.13519359723123514,
60-69,,2021-08-28,2.5275119677691675,0.1340157414889953,
60-69,,2021-09-04,2.630969670181642,0.13311077212234476,
60-69,,2021-09-11,5.540227592549502,0,
60-69,,2021-09-18,2.3445284567141433,0.2621321303216099,
60-69,,2021-09-25,3.060218989270872,0.25974059706571045,
60-69,,2021-10-02,5.681100871102133,0,
60-69,,2021-10-09,0.6464583777773468,0,
60-69,,2021-10-16,1.984297591724156,0,
60-69,,2021-10-23,4.037359028880575,0.12447270251397517,
60-69,,2021-10-30,2.729090053149029,0,0
60-69,,2021-11-06,0,0,0
60-69,,2021-11-13,2.1116648365571415,0,0
60-69,,2021-11-20,0,0.12811873018964134,0
60-69,,2021-11-27,3.6098216026163987,0.27262033120644036,1.1617910170318564
60-69,,2021-12-04,8.04581727217537,0.30112228274780106,0
60-69,,2021-12-11,2.973756598022452,0.1753453865752065,0
60-69,,2021-12-18,9.069266523069947,1.0627512078167476,0.5623790884959734
60-69,,2021-12-25,3.050756969072951,1.215536501345599,0.48068256924833264
60-69,,2022-01-01,6.900835001035126,1.0771596377512138,0.21875854525567404
60-69,,2022-01-08,7.734071679376324,0.31601267842865854,0.1944817741405364
60-69,,2022-01-15,6.229995872627734,0,0.1775675378130072
60-69,,2022-01-22,6.26169175256925,0,0
70-79,,2021-01-30,2.281257794297464,0,
70-79,,2021-02-06,1.5715585617724666,0,
70-79,,2021-02-13,1.9502332966581126,0,
70-79,,2021-02-20,1.5010607495963815,0,
70-79,,2021-02-27,1.1943986117675565,1.3208120352392652,
70-79,,2021-03-06,0.5346040277067448,0,
70-79,,2021-03-13,2.0671290771772037,0,
70-79,,2021-03-20,1.38170620978248,0,
70-79,,2021-03-27,1.7133005664599998,0.6661870120180137,
70-79,,2021-04-03,1.400485034650334,0,
70-79,,2021-04-10,3.4077444925606315,0,
70-79,,2021-04-17,1.2983303471735348,0,
70-79,,2021-04-24,2.4742472102862703,0.37401913481893734,
70-79,,2021-05-01,5.098061207322855,0.32918234397579854,
70-79,,2021-05-08,1.7440846462414976,0,
70-79,,2021-05-15,2.5083874204370864,0,
70-79,,2021-05-22,4.067658723433104,0,
70-79,,2021-05-29,2.136843454848498,0.18694314311245377,
70-79,,2021-06-05,2.983160061453097,0.1785213788277215,
70-79,,2021-06-12,2.33777770851029,0,
70-79,,2021-06-19,1.6253555465258025,0,
70-79,,2021-06-26,0.8449014422467619,0,
70-79,,2021-07-03,0,0,
70-79,,2021-07-10,0.892960790091707,0,
70-79,,2021-07-17,0,0,
70-79,,2021-07-24,0.9378575581940615,0,
70-79,,2021-07-31,1.9184100217739537,0,
70-79,,2021-08-07,0,0,
70-79,,2021-08-14,0.9934926233172718,0,
70-79,,2021-08-21,5.082695455053724,0.6375365587370401,
70-79,,2021-08-28,3.1402432641781983,0.317471403763306,
70-79,,2021-09-04,10.84763413099603,0.6329825027811669,
70-79,,2021-09-11,4.541119840152581,0.1577117911643546,
70-79,,2021-09-18,4.787093994590584,0.4712032016686876,
70-79,,2021-09-25,1.248969600079934,0.3126934790901871,
70-79,,2021-10-02,10.31393025204667,0.15558221197454053,
70-79,,2021-10-09,5.284225266523112,0.15465511908444168,0
70-79,,2021-10-16,6.757669955399378,0.15362776606792805,0
70-79,,2021-10-23,2.7524324621884593,0.45826223903874913,0
70-79,,2021-10-30,4.1875462374897054,0.6084501557632399,0
70-79,,2021-11-06,1.4127087277145198,0.6078020510280212,0
70-79,,2021-11-13,10.099407020530652,0.4687734386719336,0
70-79,,2021-11-20,4.391679231748913,1.068009035356439,0.9946685764303335
70-79,,2021-11-27,13.36382264722478,1.9210614504867756,0.5130415153194197
70-79,,2021-12-04,25.60472331837214,1.5947606795806843,1.3880069261545616
70-79,,2021-12-11,24.5090530314635,3.4042321413981864,1.6136015856324915
70-79,,2021-12-18,29.659694036840463,4.00819453104124,0.6783861645403029
70-79,,2021-12-25,29.959003468937244,4.6686551679419015,0.4213444680631427
70-79,,2022-01-01,19.036740909956215,3.9910600255427844,0.40601552603371555
70-79,,2022-01-08,25.613113914324135,3.923620193565263,0.19371060410588997
70-79,,2022-01-15,11.2952414761267,4.5103964638491725,0.37230081906180196
70-79,,2022-01-22,22.729855665416526,3.353172939894375,0.18126811548229102
80+,,2021-01-30,9.625275974709588,0,
80+,,2021-02-06,12.38543472875898,0,
80+,,2021-02-13,12.256757438770286,2.3816895705813703,
80+,,2021-02-20,8.133072558625898,0,
80+,,2021-02-27,4.5249799461116025,1.8093489057962493,
80+,,2021-03-06,6.820600030920054,0,
80+,,2021-03-13,9.231053263177328,1.8002016225817292,
80+,,2021-03-20,5.04741768502992,0.5227282231422239,
80+,,2021-03-27,10.257330786096189,0.4707366557926499,
80+,,2021-04-03,17.462292362429878,0.4296418505533787,
80+,,2021-04-10,11.487085234172438,0.7781313952674048,
80+,,2021-04-17,11.354174551510106,1.0870392312458557,
80+,,2021-04-24,17.0898176730077,1.3440092467836178,
80+,,2021-05-01,21.644761366505936,0.9517736301598028,
80+,,2021-05-08,16.067053168556775,0.6019237482995654,
80+,,2021-05-15,8.55188141391106,0.5770307153449779,
80+,,2021-05-22,21.51727529816796,0.554402091204688,
80+,,2021-05-29,6.477522995206633,0,
80+,,2021-06-05,10.224948875255624,0.7898665388838133,
80+,,2021-06-12,3.570408454727221,0.25953869592186846,
80+,,2021-06-19,1.8571136739279812,0,
80+,,2021-06-26,1.921931156425977,0,
80+,,2021-07-03,1.9789048740427049,0,
80+,,2021-07-10,2.0302919559832704,0,
80+,,2021-07-17,0,0.24971594810902598,
80+,,2021-07-24,0,0,
80+,,2021-07-31,8.731717965509715,0.24782533270550916,
80+,,2021-08-07,2.218524681087077,0,
80+,,2021-08-14,9.044862518089724,0.9858505795569095,
80+,,2021-08-21,16.231131309852298,0.9829507197656645,
80+,,2021-08-28,35.91868010823496,0.7352274426093712,
80+,,2021-09-04,27.346857597454257,2.4457053414204655,
80+,,2021-09-11,26.221942521501994,3.1724726984320664,
80+,,2021-09-18,30.95191198401756,2.4328710067463515,
80+,,2021-09-25,27.127226693191066,2.666970539673611,
80+,,2021-10-02,28.607755880483154,0.4830661172594693,
80+,,2021-10-09,26.48743502301096,2.1636487772980355,
80+,,2021-10-16,24.054982817869416,2.629433882885015,
80+,,2021-10-23,28.336639274582033,2.37727891900373,
80+,,2021-10-30,32.650099764193726,3.550539563662358,0
80+,,2021-11-06,44.467501667531316,3.075394478484067,0
80+,,2021-11-13,84.68704288243899,3.92306862427791,11.682925404521292
80+,,2021-11-20,111.48272017837235,6.053425806618988,0
80+,,2021-11-27,115.47820348909143,11.786177314108768,2.04278963352354
80+,,2021-12-04,158.0048682581031,19.778390039050823,7.613174598642952
80+,,2021-12-11,248.4361829555033,27.47493642767369,5.440823274287446
80+,,2021-12-18,235.42445644647555,22.20150082145553,3.399949680744725
80+,,2021-12-25,208.16577565406632,15.070075852715126,4.8335331193689335
80+,,2022-01-01,201.3519344167985,17.97268152408339,4.076334058711753
80+,,2022-01-08,152.08752391698965,10.903828234967586,0.9085677943002514
80+,,2022-01-15,150.4060964604432,9.860528305194308,2.9354264881144583
80+,,2022-01-22,142.63881813550688,11.847218273149464,3.159811790119556
All ages,,2021-01-30,0.747042825883143,0,
All ages,,2021-02-06,0.9222902445483961,0,
All ages,,2021-02-13,0.9483531055989618,0.1295636739103005,
All ages,,2021-02-20,0.6357271770350236,0,
All ages,,2021-02-27,0.3636595244596598,0.2144159466270577,
All ages,,2021-03-06,0.5188016998759182,0,
All ages,,2021-03-13,0.7980199963572835,0.09793078782472854,
All ages,,2021-03-20,0.47315310640668296,0.028436362943126053,
All ages,,2021-03-27,0.7873129741762127,0.08410946058981368,
All ages,,2021-04-03,1.2205365139665765,0.023372473604831696,
All ages,,2021-04-10,1.022122058117687,0.04233026990632688,
All ages,,2021-04-17,0.8082935930990616,0.05913482522009052,
All ages,,2021-04-24,1.3040414929696231,0.10595858284266564,
All ages,,2021-05-01,1.7853883638845185,0.08068364693612082,
All ages,,2021-05-08,1.1740031861640041,0.0987392331136001,
All ages,,2021-05-15,0.8692672559743142,0.03139041307593024,
All ages,,2021-05-22,1.6001556146862892,0.030159418190885,
All ages,,2021-05-29,0.6223384464287676,0.07699930390277435,
All ages,,2021-06-05,1.013113894509823,0.05864557471096685,
All ages,,2021-06-12,0.46598371312667575,0.035156987324372696,
All ages,,2021-06-19,0.41405554040396675,0,
All ages,,2021-06-26,0.2487973187419316,0.024387617412568393,
All ages,,2021-07-03,0.10765222679183478,0,
All ages,,2021-07-10,0.21546035438424777,0,
All ages,,2021-07-17,0,0.013584522546782501,
All ages,,2021-07-24,0.24350682088268294,0,
All ages,,2021-07-31,0.7325681524960332,0.013481673258337554,
All ages,,2021-08-07,0.21160163608800764,0,
All ages,,2021-08-14,0.6173852536377932,0.05363017271088489,
All ages,,2021-08-21,1.3936880189466359,0.12506748306321588,
All ages,,2021-08-28,2.7157555468171544,0.08334873742616725,
All ages,,2021-09-04,2.9222011963456165,0.20400078701155372,
All ages,,2021-09-11,2.7227356460071377,0.20324777528485832,
All ages,,2021-09-18,2.5375163655555015,0.20399282281429326,
All ages,,2021-09-25,2.1858691175395473,0.24006072168960674,
All ages,,2021-10-02,3.3552103830148328,0.039941251971587224,
All ages,,2021-10-09,2.0317420548747624,0.13128336725397927,0
All ages,,2021-10-16,2.1844591346070126,0.15653181296348342,0
All ages,,2021-10-23,2.2493733154096214,0.18393791899808087,0
All ages,,2021-10-30,2.5031336341208474,0.24658024886675878,0
All ages,,2021-11-06,2.5986299443250274,0.22067549032680453,0
All ages,,2021-11-13,5.794158464210498,0.2545800351260881,0.6355499709646342
All ages,,2021-11-20,6.542418427979052,0.4378860323468877,0.08734715136574718
All ages,,2021-11-27,8.045581343714833,0.8715835775700739,0.29032192795834255
All ages,,2021-12-04,11.859707193452675,1.250754731660819,0.8027960006276097
All ages,,2021-12-11,16.320877985939077,1.8649648065026208,0.4376791998734533
All ages,,2021-12-18,16.83024037814895,1.7017600297383064,0.37100939463855886
All ages,,2021-12-25,14.526702513461153,1.409728589900689,0.43013715598822455
All ages,,2022-01-01,13.726837123515413,1.452558183237823,0.28266461646680974
All ages,,2022-01-08,11.58088367640847,1.00130317128853,0.08889180352828316
All ages,,2022-01-15,10.128539751962569,0.932493714792088,0.2128827389708169
All ages,,2022-01-22,10.70758049009928,0.9739084444833006,0.18781156441756455