Entity,Code,Day,unvaccinated,fully_vaccinated,boosted
18-49,,2021-09-04,3.263403347,0.118916168,0
18-49,,2021-09-11,2.792725203,0.111740054,0
18-49,,2021-09-18,2.421663535,0.088083299,0
18-49,,2021-09-25,1.800899504,0.077227586,0
18-49,,2021-10-02,1.372599101,0.0620089,0.244072496
18-49,,2021-10-09,1.188411656,0.0293654,0.075197299
18-49,,2021-10-16,1.027504588,0.0447272,0
18-49,,2021-10-23,0.935153846,0.039986,0.0531406
18-49,,2021-10-30,0.862047736,0.0221056,0
18-49,,2021-11-06,0.896468803,0.0330412,0.076049415
18-49,,2021-11-13,0.879311403,0.033119,0
18-49,,2021-11-20,0.971858418,0.0488822,0
18-49,,2021-11-27,0.82202992,0.0246952,0.0202107
18-49,,2021-12-04,0.889514605,0.0341396,0
50-64,,2021-09-04,22.24620844,0.789932104,0.214929428
50-64,,2021-09-11,19.41296304,0.679899594,0.178303019
50-64,,2021-09-18,15.31381689,0.677723442,0.305294571
50-64,,2021-09-25,13.5664097,0.491679646,0.273471737
50-64,,2021-10-02,10.57950326,0.416680851,0.358853821
50-64,,2021-10-09,8.655601931,0.372321996,0.422748967
50-64,,2021-10-16,7.969568362,0.368085849,0.680207906
50-64,,2021-10-23,6.718141703,0.319732508,0.332490581
50-64,,2021-10-30,6.197109736,0.246423713,0.157645657
50-64,,2021-11-06,6.895855628,0.336701272,0.085806712
50-64,,2021-11-13,7.117571127,0.343817888,0.03271
50-64,,2021-11-20,7.784927853,0.393057526,0.127360759
50-64,,2021-11-27,7.379615403,0.432064066,0.208406102
50-64,,2021-12-04,8.259121654,0.396061657,0.102510254
65+,,2021-09-04,71.34310594,5.360771951,1.801246823
65+,,2021-09-11,61.4000648,5.187396249,1.687684834
65+,,2021-09-18,54.40199235,4.37595291,0.907847433
65+,,2021-09-25,43.97421102,3.935079339,1.103807116
65+,,2021-10-02,38.66965745,3.164866361,1.253370173
65+,,2021-10-09,34.85746582,2.962794594,1.143662281
65+,,2021-10-16,32.93728075,2.792084687,0.884143006
65+,,2021-10-23,29.32985909,2.748542522,0.590042338
65+,,2021-10-30,29.46574491,2.875281232,0.576685872
65+,,2021-11-06,31.07802245,2.81030633,0.485921329
65+,,2021-11-13,34.98924187,3.25422216,0.375651076
65+,,2021-11-20,39.5238485,3.555145696,0.4543906
65+,,2021-11-27,35.93775007,3.724453279,0.545454672
65+,,2021-12-04,44.14344381,3.577146965,0.486429372
All ages,,2021-09-25,11.35873868,0.817830845,0.24319455
All ages,,2021-10-02,9.583233626,0.661983017,0.439113649
All ages,,2021-10-09,8.429825482,0.598124397,0.327341171
All ages,,2021-10-16,7.86327443,0.577844653,0.287968923
All ages,,2021-10-23,6.938242765,0.557685544,0.200996971
All ages,,2021-10-30,6.810223275,0.553230507,0.130041476
All ages,,2021-11-06,7.247521403,0.567271075,0.147808781
All ages,,2021-11-13,7.947501773,0.644342324,0.07056997
All ages,,2021-11-20,8.912522203,0.71542272,0.103099823
All ages,,2021-11-27,8.125989868,0.736949105,0.147665461
All ages,,2021-12-04,9.743209282,0.710521936,0.103534253